seq,secs,nsecs,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,time
17460,1614000092,428631095,1.75866091251,1.44360232353,0,0,0,-0.87768457925,0.479238749838,1614000092.42863
17461,1614000092,488631095,1.74244904518,1.41838347912,0,0,0,-0.87768469351,0.479238540582,1614000092.48863
17462,1614000092,548631095,1.7264302969,1.39342272282,0,0,0,-0.877526396432,0.479528334476,1614000092.54863
17463,1614000092,608631095,1.71020066738,1.3681640625,0,0,0,-0.877605499785,0.479383548682,1614000092.60863
17464,1614000092,668631095,1.69363176823,1.34237742424,0,0,0,-0.87768457925,0.479238749838,1614000092.66863
17465,1614000092,728631095,1.6777472496,1.3176856041,0,0,0,-0.877842723601,0.478949008373,1614000092.72863
17466,1614000092,788631095,1.66321122646,1.29507923126,0,0,0,-0.877763634824,0.479093937949,1614000092.78863
17467,1614000092,848631095,1.65099227428,1.27607250214,0,0,0,-0.877605499785,0.479383548682,1614000092.84863
17468,1614000092,908631095,1.64181816578,1.26180827618,0,0,0,-0.877763634824,0.479093937949,1614000092.90863
17469,1614000092,968631095,1.63621735573,1.25309288502,0,0,0,-0.877763806162,0.479093624037,1614000092.96863
17470,1614000093,28631095,1.63377809525,1.24930071831,0,0,0,-0.87768457925,0.479238749838,1614000093.02863
17471,1614000093,88631095,1.63348531723,1.24884474277,0,0,0,-0.877526453596,0.479528229867,1614000093.08863
17472,1614000093,148631095,1.63348531723,1.24884474277,0,0,0,-0.877526453596,0.479528229867,1614000093.14863
17473,1614000093,208631095,1.63348531723,1.24884474277,0,0,0,-0.877526453596,0.479528229867,1614000093.20863
17474,1614000093,268631095,1.63348531723,1.24884474277,0,0,0,-0.877526453596,0.479528229867,1614000093.26863
17475,1614000093,328631095,1.63348531723,1.24884474277,0,0,0,-0.877526453596,0.479528229867,1614000093.32863
17476,1614000093,388631095,1.63348531723,1.24884474277,0,0,0,-0.877526453596,0.479528229867,1614000093.38863
17477,1614000093,448631095,1.63348531723,1.24884474277,0,0,0,-0.877526453596,0.479528229867,1614000093.44863
17478,1614000093,508631095,1.63348531723,1.24884474277,0,0,0,-0.877526453596,0.479528229867,1614000093.50863
17479,1614000093,568631095,1.63348531723,1.24884474277,0,0,0,-0.877526453596,0.479528229867,1614000093.56863
17480,1614000093,628631095,1.63348531723,1.24884474277,0,0,0,-0.877526453596,0.479528229867,1614000093.62863
17481,1614000093,689589052,1.63254308701,1.24738001823,0,0,0,-0.877842837791,0.478948799079,1614000093.68959
17482,1614000093,749589052,1.63006806374,1.24352645874,0,0,0,-0.877605556932,0.479383444063,1614000093.74959
17483,1614000093,809589052,1.62504076958,1.23569762707,0,0,0,-0.87768469351,0.479238540582,1614000093.80959
17484,1614000093,869589052,1.61669421196,1.22269201279,0,0,0,-0.877526396432,0.479528334476,1614000093.86959
17485,1614000093,929589052,1.60519254208,1.20470190048,0,0,0,-0.876813219657,0.480831132348,1614000093.92959
17486,1614000093,989589052,1.59104406834,1.18217778206,0,0,0,-0.874181760189,0.48559885724,1614000093.98959
17487,1614000094,49589052,1.57584834099,1.15686762333,0,0,0,-0.867694913484,0.497097110346,1614000094.04959
17488,1614000094,109589052,1.56078231335,1.12964689732,0,0,0,-0.858020530507,0.513615390374,1614000094.10959
17489,1614000094,169589052,1.54728198051,1.10257518291,0,0,0,-0.846278446717,0.532740828755,1614000094.16959
17490,1614000094,229589052,1.53528642654,1.07525098324,0,0,0,-0.832741696087,0.553661690564,1614000094.22959
17491,1614000094,289589052,1.52486693859,1.04785323143,0,0,0,-0.818213855846,0.57491398148,1614000094.28959
17492,1614000094,349589052,1.51580750942,1.01965415478,0,0,0,-0.802947347943,0.596049961355,1614000094.34959
17493,1614000094,409589052,1.50814735889,0.990579903126,0,0,0,-0.786523575765,0.617560251932,1614000094.40959
17494,1614000094,469589052,1.50217461586,0.96189057827,0,0,0,-0.770155907977,0.637855686977,1614000094.46959
17495,1614000094,529589052,1.49765145779,0.932122409344,0,0,0,-0.752721740441,0.658338804467,1614000094.52959
17496,1614000094,589589052,1.49478161335,0.903653085232,0,0,0,-0.735749781082,0.677253467793,1614000094.58959
17497,1614000094,649589052,1.49341475964,0.874509751797,0,0,0,-0.717498064969,0.696560497564,1614000094.64959
17498,1614000094,709589052,1.4935849905,0.844749927521,0,0,0,-0.698622096248,0.715490857129,1614000094.70959
17499,1614000094,769589052,1.49531888962,0.81518214941,0,0,0,-0.67973125882,0.733461257179,1614000094.76959
17500,1614000094,829589052,1.49862289429,0.785807073116,0,0,0,-0.659758560629,0.75147763884,1614000094.82959
17501,1614000094,889589052,1.50347840786,0.756640732288,0,0,0,-0.639561674885,0.768739789537,1614000094.88959
17502,1614000094,949589052,1.50989949703,0.727698028088,0,0,0,-0.618913980525,0.7854587734,1614000094.94959
17503,1614000095,9589052,1.51773202419,0.699406981468,0,0,0,-0.598622860733,0.801031004773,1614000095.00959
17504,1614000095,69589052,1.52706074715,0.671461284161,0,0,0,-0.577535139499,0.81636582648,1614000095.06959
17505,1614000095,129589052,1.5379294157,0.6438575387,0,0,0,-0.554958074157,0.831878317981,1614000095.12959
17506,1614000095,189589052,1.5502872467,0.61696523428,0,0,0,-0.532243666726,0.846591211406,1614000095.18959
17507,1614000095,249589052,1.5640399456,0.59079015255,0,0,0,-0.509565427301,0.860431912065,1614000095.24959
17508,1614000095,309589052,1.57911372185,0.565435528755,0,0,0,-0.486815447775,0.873504848188,1614000095.30959
17509,1614000095,369589052,1.59567975998,0.540660738945,0,0,0,-0.463438522667,0.886129073955,1614000095.36959
17510,1614000095,429589052,1.61307322979,0.517359912395,0,0,0,-0.440474979227,0.897764887192,1614000095.42959
17511,1614000095,489589052,1.63136518002,0.49540579319,0,0,0,-0.416019589199,0.909355651768,1614000095.48959
17512,1614000095,549589052,1.64859485626,0.476910889149,0,0,0,-0.389588584536,0.920988998197,1614000095.54959
17513,1614000095,609589052,1.66309273243,0.463109046221,0,0,0,-0.361139868006,0.93251165984,1614000095.60959
17514,1614000095,669589052,1.67355322838,0.454275608063,0,0,0,-0.333596191128,0.94271606609,1614000095.66959
17515,1614000095,729589052,1.6798286438,0.449545353651,0,0,0,-0.307963193181,0.951398271832,1614000095.72959
17516,1614000095,789589052,1.6833204031,0.447141617537,0,0,0,-0.291590550876,0.956543229885,1614000095.78959
17517,1614000095,849589052,1.68451786041,0.446348398924,0,0,0,-0.287641171106,0.957738250612,1614000095.84959
17518,1614000095,909589052,1.68448364735,0.446371227503,0,0,0,-0.289221651393,0.957262156551,1614000095.90959
